"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16054","Cyprus can be selected","chromium","2026-06-16","passed","2026-06-16","[CYSEC RO] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9000","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8740","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB FR] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8999","Albania appears in the country search results","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANT] Header regional settings","header\header-regional-settings.spec.ts","",""
"","16877","Switching language keeps the license","chromium","2026-06-16","passed","2026-06-16","[CYSEC EL] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8673","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB EN] Trading / Learn / Technical analysis","content\trading.spec.ts","",""
"","15297","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC EL] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8660","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANT] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15518","Logo opens main page","chromium","2026-06-16","passed","2026-06-16","[CYSEC FR] Header navigation","header\header-navigation.spec.ts","",""
"","8862","Entity matches the license","chromium","2026-06-16","passed","2026-06-16","[ASIC EN] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8800","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB FR] Trading / Learn / All resources","content\trading.spec.ts","",""
"","8689","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CMA EN] Trading / Learn / Trading psychology","content\trading.spec.ts","",""
"","8677","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANS] Trading / Learn / All resources","content\trading.spec.ts","",""
"","8435","[tiles_w_img_btn2_signup] opens the sign up form","chromium","2026-06-16","skipped","2026-06-16","[SCB ES] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8988","Login button opens the login form","chromium","2026-06-16","passed","2026-06-16","[SCB VI] Header auth entry","header\header-auth.spec.ts","",""
"","8495","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[FCA EN] Trading / Learn / All resources","content\trading.spec.ts","",""
"","9059","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[ASIC EN] Pricing / Pricing","content\pricing.spec.ts","",""
"","8708","Login button opens the login form","chromium","2026-06-16","passed","2026-06-16","[SCB FR] Header auth entry","header\header-auth.spec.ts","",""
"","15735","Entity matches the license","chromium","2026-06-16","passed","2026-06-16","[CYSEC NL] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9197","Albania can be selected","chromium","2026-06-16","passed","2026-06-16","[SCB DE] Header regional settings","header\header-regional-settings.spec.ts","",""
"","16137","Cyprus can be selected","chromium","2026-06-16","passed","2026-06-16","[CYSEC EN] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8876","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB MN] Pricing / Pricing","content\pricing.spec.ts","",""
"","15572","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC EL] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","16260","Cyprus can be selected","chromium","2026-06-16","passed","2026-06-16","[CYSEC PL] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9131","United Arab Emirates can be selected","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8823","Entity matches the license","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8383","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB AR] Trading / Learn / All resources","content\trading.spec.ts","",""
"","8625","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Trading / Learn / All resources","content\trading.spec.ts","",""
"","21884","Login button opens the login form","chromium","2026-06-16","passed","2026-06-16","[CYSEC PL] Header auth entry","header\header-auth.spec.ts","",""
